Date,Clicks,Impressions,CTR,Position
2026-04-23,0,22,0%,8.9
2026-04-24,0,17,0%,6.7
2026-04-25,0,2,0%,42.5
2026-04-26,1,6,16.67%,32.2
2026-04-27,0,15,0%,8.4
2026-04-28,0,15,0%,19.8
2026-04-29,0,20,0%,1.8
2026-04-30,0,4,0%,12
2026-05-01,0,0,,
2026-05-02,0,2,0%,5
2026-05-03,0,0,,
2026-05-04,0,1,0%,7
2026-05-05,0,0,,
2026-05-06,0,0,,
2026-05-07,0,0,,
2026-05-08,0,2,0%,6.5
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,2,0%,17.5
2026-05-12,0,1,0%,16
2026-05-13,0,0,,
2026-05-14,0,1,0%,1
2026-05-15,0,0,,
2026-05-16,0,0,,
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,0,,
2026-05-20,0,0,,
2026-05-21,0,0,,
2026-05-22,0,0,,
2026-05-23,0,2,0%,10
2026-05-24,0,0,,
2026-05-25,0,0,,
2026-05-26,0,0,,
2026-05-27,0,0,,
2026-05-28,0,1,0%,32
2026-05-29,0,0,,
2026-05-30,0,0,,
2026-05-31,0,0,,
2026-06-01,0,0,,
2026-06-02,0,4,0%,1
2026-06-03,0,5,0%,6.4
2026-06-04,0,3,0%,1
2026-06-05,0,1,0%,1
2026-06-06,0,0,,
2026-06-07,0,1,0%,1
2026-06-08,0,0,,
2026-06-09,0,2,0%,1
2026-06-10,0,2,0%,41
2026-06-11,0,1,0%,1
2026-06-12,0,3,0%,4.3
2026-06-13,0,2,0%,6.5
2026-06-14,0,2,0%,3.5
2026-06-15,0,3,0%,2.7
2026-06-16,0,0,,
2026-06-17,0,1,0%,2
2026-06-18,1,2,50%,3.5
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,1,0%,10
2026-06-22,0,0,,
2026-06-23,0,2,0%,1
2026-06-24,0,2,0%,1
2026-06-25,1,1,100%,1
2026-06-26,0,1,0%,1
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,1,0%,5
2026-07-01,0,0,,
2026-07-02,0,0,,
2026-07-03,0,1,0%,1
2026-07-04,0,0,,
2026-07-05,0,0,,
2026-07-06,0,0,,
2026-07-07,0,0,,
2026-07-08,0,3,0%,4.3
2026-07-09,0,0,,
2026-07-10,0,2,0%,1
2026-07-11,0,0,,
2026-07-12,0,0,,
2026-07-13,0,1,0%,4
2026-07-14,0,0,,
2026-07-15,0,0,,
2026-07-16,0,0,,
2026-07-17,0,0,,
2026-07-18,1,1,100%,1
2026-07-19,0,0,,
2026-07-20,0,2,0%,1
2026-07-21,0,0,,
2026-07-22,0,0,,
